"code","name","gakumen"
"1332","日本水産",50
"1333","マルハニチロ",500
"1605","国際石油開発帝石",125
"1721","コムシスホールディングス",50
"1801","大成建設",250
"1802","大林組",50
"1803","清水建設",50
"1808","長谷工コーポレーション",250
"1812","鹿島建設",100
"1925","大和ハウス工業",50
"1928","積水ハウス",50
"1963","日揮",50
"2002","日清製粉グループ本社",50
"2269","明治ホールディングス",250
"2282","日本ハム",100
"2432","ディー・エヌ・エー",166.666666666667
"2501","サッポロホールディングス",250
"2502","アサヒグループホールディングス",50
"2503","キリンホールディングス",50
"2531","宝ホールディングス",50
"2768","双日",500
"2801","キッコーマン",50
"2802","味の素",50
"2871","ニチレイ",100
"2914","日本たばこ産業",50
"3086","Ｊ．フロントリテイリング",100
"3099","三越伊勢丹ホールディングス",50
"3101","東洋紡",500
"3103","ユニチカ",500
"3105","日清紡ホールディングス",50
"3289","東急不動産ホールディングス",50
"3382","セブン＆アイ・ホールディングス",50
"3401","帝人",250
"3402","東レ",50
"3405","クラレ",50
"3407","旭化成",50
"3436","ＳＵＭＣＯ",500
"3861","王子ホールディングス",50
"3863","日本製紙",500
"4004","昭和電工",500
"4005","住友化学",50
"4021","日産化学",50
"4042","東ソー",100
"4043","トクヤマ",250
"4061","デンカ",250
"4063","信越化学工業",50
"4151","協和発酵キリン",50
"4183","三井化学",250
"4188","三菱ケミカルホールディングス",100
"4208","宇部興産",500
"4272","日本化薬",50
"4324","電通",50
"4452","花王",50
"4502","武田薬品工業",50
"4503","アステラス製薬",10
"4506","大日本住友製薬",50
"4507","塩野義製薬",50
"4519","中外製薬",50
"4523","エーザイ",50
"4543","テルモ",25
"4568","第一三共",50
"4578","大塚ホールディングス",50
"4631","ＤＩＣ",500
"4689","ヤフー",125
"4704","トレンドマイクロ",50
"4751","サイバーエージェント",250
"4755","楽天",50
"4901","富士フイルムホールディングス",50
"4902","コニカミノルタ",50
"4911","資生堂",50
"5002","昭和シェル石油",50
"5020","ＪＸＴＧホールディングス",50
"5101","横浜ゴム",100
"5108","ブリヂストン",50
"5201","ＡＧＣ",250
"5202","日本板硝子",500
"5214","日本電気硝子",166.666666666667
"5232","住友大阪セメント",500
"5233","太平洋セメント",500
"5301","東海カーボン",50
"5332","ＴＯＴＯ",100
"5333","日本碍子",50
"5401","新日鐵住金",500
"5406","神戸製鋼所",500
"5411","ジェイエフイーホールディングス",500
"5541","大平洋金属",500
"5631","日本製鋼所",250
"5703","日本軽金属ホールディングス",50
"5706","三井金属鉱業",500
"5707","東邦亜鉛",500
"5711","三菱マテリアル",500
"5713","住友金属鉱山",100
"5714","ＤＯＷＡホールディングス",250
"5801","古河電気工業",500
"5802","住友電気工業",50
"5803","フジクラ",50
"5901","東洋製罐グループホールディングス",50
"6098","リクルートホールディングス",16.6666666666667
"6103","オークマ",250
"6113","アマダホールディングス",50
"6178","日本郵政",50
"6301","小松製作所",50
"6302","住友重機械工業",250
"6305","日立建機",50
"6326","クボタ",50
"6361","荏原製作所",250
"6366","千代田化工建設",50
"6367","ダイキン工業",50
"6471","日本精工",50
"6472","ＮＴＮ",50
"6473","ジェイテクト",50
"6479","ミネベアミツミ",50
"6501","日立製作所",250
"6503","三菱電機",50
"6504","富士電機",250
"6506","安川電機",50
"6674","ジーエス・ユアサコーポレーション",250
"6701","日本電気",500
"6702","富士通",500
"6703","沖電気工業",500
"6724","セイコーエプソン",25
"6752","パナソニック",50
"6758","ソニー",50
"6762","ＴＤＫ",50
"6770","アルプスアルパイン",50
"6773","パイオニア",50
"6841","横河電機",50
"6857","アドバンテスト",25
"6902","デンソー",50
"6952","カシオ計算機",50
"6954","ファナック",50
"6971","京セラ",25
"6976","太陽誘電",50
"6988","日東電工",50
"7003","三井Ｅ＆Ｓホールディングス",500
"7004","日立造船",250
"7011","三菱重工業",500
"7012","川崎重工業",500
"7013","ＩＨＩ",500
"7186","コンコルディア・フィナンシャルグループ",50
"7201","日産自動車",50
"7202","いすゞ自動車",100
"7203","トヨタ自動車",50
"7205","日野自動車",50
"7211","三菱自動車工業",500
"7261","マツダ",250
"7267","本田技研工業",25
"7269","スズキ",50
"7270","ＳＵＢＡＲＵ",50
"7272","ヤマハ発動機",50
"7731","ニコン",50
"7733","オリンパス",50
"7735","ＳＣＲＥＥＮホールディングス",250
"7751","キヤノン",33.3333333333333
"7752","リコー",50
"7762","シチズン時計",50
"7911","凸版印刷",100
"7912","大日本印刷",100
"7951","ヤマハ",50
"8001","伊藤忠商事",50
"8002","丸紅",50
"8015","豊田通商",50
"8028","ユニー・ファミリーマートホールディングス",50
"8031","三井物産",50
"8035","東京エレクトロン",50
"8053","住友商事",50
"8058","三菱商事",50
"8233","高島屋",100
"8252","丸井グループ",50
"8253","クレディセゾン",50
"8267","イオン",50
"8303","新生銀行",500
"8304","あおぞら銀行",500
"8306","三菱ＵＦＪフィナンシャル・グループ",50
"8308","りそなホールディングス",500
"8309","三井住友トラスト・ホールディングス",500
"8316","三井住友フィナンシャルグループ",500
"8331","千葉銀行",50
"8354","ふくおかフィナンシャルグループ",250
"8355","静岡銀行",50
"8411","みずほフィナンシャルグループ",50
"8601","大和証券グループ本社",50
"8604","野村ホールディングス",50
"8628","松井証券",50
"8630","ＳＯＭＰＯホールディングス",200
